"Filename","Group","Sample","Weight","Glucose","Rep"
"C05.raw","ND","ND_1",22.1,5.69,1
"C06.raw","ND","ND_1",22.1,5.69,2
"C07.raw","ND","ND_1",22.1,5.69,3
"C08.raw","ND","ND_2",21.4,8.19,1
"C09.raw","ND","ND_2",21.4,8.19,2
"C10.raw","ND","ND_2",21.4,8.19,3
"C11.raw","ND","ND_3",23.3,4.7,1
"C12.raw","ND","ND_3",23.3,4.7,2
"C13.raw","ND","ND_3",23.3,4.7,3
"C14.raw","ND","ND_4",20.3,6.46,1
"C15.raw","ND","ND_4",20.3,6.46,2
"C16.raw","ND","ND_4",20.3,6.46,3
"C17.raw","ND","ND_5",24.9,4.49,1
"C18.raw","ND","ND_5",24.9,4.49,2
"C19.raw","ND","ND_5",24.9,4.49,3
"C53.raw","ND4","ND4_1",30,3.13,1
"C54.raw","ND4","ND4_1",30,3.13,2
"C55.raw","ND4","ND4_1",30,3.13,3
"C56.raw","ND4","ND4_2",27.4,2.61,1
"C57.raw","ND4","ND4_2",27.4,2.61,2
"C58.raw","ND4","ND4_2",27.4,2.61,3
"C59.raw","ND4","ND4_3",25.8,3.35,1
"C60.raw","ND4","ND4_3",25.8,3.35,2
"C61.raw","ND4","ND4_3",25.8,3.35,3
"C62.raw","ND4","ND4_4",28.9,3.55,1
"C63.raw","ND4","ND4_4",28.9,3.55,2
"C64.raw","ND4","ND4_4",28.9,3.55,3
"C65.raw","ND4","ND4_5",27.2,3.95,1
"C66.raw","ND4","ND4_5",27.2,3.95,2
"C67.raw","ND4","ND4_5",27.2,3.95,3
